Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26589651,10/31/2013 02:08:41 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11432,90-03 169 STREET,169 STREET,90 AVENUE,91 AVENUE,,,ADDRESS,JAMAICA,,Precinct,Assigned,10/31/2013 10:08:41 AM,10/31/2013 02:35:17 AM,12 QUEENS,QUEENS,1042027,197389,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70827532593202,-73.79160395779721,"(40.70827532593202, -73.79160395779721)"
26591458,10/31/2013 01:14:02 AM,10/31/2013 01:30:34 AM,NYPD,New York City Police Department,Noise - House of Worship,Loud Music/Party,House of Worship,10025,,,,,WEST   99 STREET,BROADWAY,INTERSECTION,NEW YORK,,Precinct,Closed,10/31/2013 09:14:02 AM,10/31/2013 01:30:34 AM,07 MANHATTAN,MANHATTAN,992454,229500,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7965967075252,-73.97036973473399,"(40.7965967075252, -73.97036973473399)"
26591641,10/31/2013 12:31:17 AM,10/31/2013 02:41:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10312,24 PRINCETON LANE,PRINCETON LANE,HAMPTON GREEN,DEAD END,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,10/31/2013 08:31:17 AM,10/31/2013 01:43:09 AM,03 STATEN ISLAND,STATEN ISLAND,929577,140964,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.55342078716953,-74.19674315017886,"(40.55342078716953, -74.19674315017886)"
26590446,10/31/2013 12:11:58 AM,10/31/2013 01:54:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,819 EAST 167 STREET,EAST 167 STREET,UNION AVENUE,PROSPECT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/31/2013 08:11:58 AM,10/31/2013 01:54:38 AM,03 BRONX,BRONX,1011935,240454,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.826622810177874,-73.8999653556452,"(40.826622810177874, -73.8999653556452)"
26590757,10/31/2013 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,RESIDENTIAL BUILDING,11233,199 HOWARD AVENUE,HOWARD AVENUE,BAINBRIDGE STREET,CHAUNCEY STREET,,,ADDRESS,BROOKLYN,,N/A,Open,,10/31/2013 12:00:00 AM,03 BROOKLYN,BROOKLYN,1006513,187623,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68163056217252,-73.91973166452124,"(40.68163056217252, -73.91973166452124)"
26595651,10/30/2013 11:50:51 PM,10/31/2013 12:26:09 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,939 GATES AVENUE,GATES AVENUE,MALCOLM X BOULEVARD,PATCHEN AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/31/2013 07:50:51 AM,10/31/2013 12:26:09 AM,03 BROOKLYN,BROOKLYN,1004124,190228,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.688786375644,-73.92833741848976,"(40.688786375644, -73.92833741848976)"
26592565,10/30/2013 11:39:28 PM,,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,11418,135-16 JAMAICA AVENUE,JAMAICA AVENUE,METROPOLITAN AVENUE,VAN WYCK EXPRESSWAY,,,ADDRESS,RICHMOND HILL,,Precinct,Open,10/31/2013 07:39:28 AM,,09 QUEENS,QUEENS,1034900,195238,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70241501845674,-73.81732645592662,"(40.70241501845674, -73.81732645592662)"
26589677,10/30/2013 11:30:08 PM,10/31/2013 01:28:21 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10030,125 WEST 133 STREET,WEST 133 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:30:08 AM,10/31/2013 01:28:21 AM,10 MANHATTAN,MANHATTAN,1000006,235612,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81336222318174,-73.94307995011837,"(40.81336222318174, -73.94307995011837)"
26590780,10/30/2013 11:18:00 PM,,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11236,,,,,EAST 96 STREET,ST JUDE PLACE,INTERSECTION,BROOKLYN,,N/A,Open,,,18 BROOKLYN,BROOKLYN,1014643,170018,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63328455805577,-73.89049865475536,"(40.63328455805577, -73.89049865475536)"
26589317,10/30/2013 11:07:45 PM,10/30/2013 11:24:27 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,258 WEST 15 STREET,WEST 15 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:07:45 AM,10/30/2013 11:24:27 PM,04 MANHATTAN,MANHATTAN,984031,208847,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73991339303542,-74.00079028612932,"(40.73991339303542, -74.00079028612932)"
26590216,10/30/2013 10:50:21 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,10012,,,,,MACDOUGAL STREET,BLEECKER STREET,INTERSECTION,NEW YORK,,N/A,Open,,,02 MANHATTAN,MANHATTAN,983920,204932,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,40.72916767899508,-74.00119065008408,"(40.72916767899508, -74.00119065008408)"
26594175,10/30/2013 10:42:27 PM,,DCA,Department of Consumer Affairs,Consumer Complaint,Contract Dispute,,11223,520 KINGS HIGHWAY,KINGS HIGHWAY,EAST 2 STREET,EAST 3 STREET,,,ADDRESS,BROOKLYN,,N/A,Open,11/03/2013 10:42:27 PM,,15 BROOKLYN,BROOKLYN,992472,159473,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.604389052142075,-73.97039021537996,"(40.604389052142075, -73.97039021537996)"
26592240,10/30/2013 10:37:00 PM,,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11221,1115 PUTNAM AVENUE,PUTNAM AVENUE,BROADWAY,BUSHWICK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,,,04 BROOKLYN,BROOKLYN,1006915,190162,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.688598513707845,-73.91827373008564,"(40.688598513707845, -73.91827373008564)"
